well	UH
"	``
thank	VBP
you	PRP
,	,
sir	NN
.	.
"	''
he	PRP
retired	VBD
.	.
i	PRP
called	VBD
to	IN
george	NNP
,	,
and	CC
he	PRP
came	VBD
out	RB
.	.
"	``
who	WP
was	VBD
it	PRP
?	.
"	''
"	``
only	RB
voules	NNP
.	.
he	PRP
brought	VBD
a	DT
letter	NN
for	IN
you	PRP
.	.
theyare	PRP
all	DT
at	IN
breakfast	NN
still	RB
.	.
the	DT
sleuth	NN
's	VBZ
eating	VBG
kippers	NNS
.	.
"	``
"	``
thatwill	DT
hold	VB
him	PRP
for	IN
a	DT
bit	NN
.	.
full	JJ
of	IN
bones	NNS
.	.
"	''
he	PRP
began	VBD
to	TO
read	VB
his	PRP$
letter	NN
.	.
he	PRP
gave	VBD
a	DT
kind	NN
of	IN
grunt	NN
of	IN
surprise	NN
at	IN
the	DT
first	JJ
paragraph	NN
.	.
"	``
well	UH
,	,
iam	PRP
hanged	VBN
!	.
"	''
he	PRP
said	VBD
,	,
as	IN
he	PRP
finished	VBD
.	.
"	``
reggie	NNP
,	,
this	DT
is	VBZ
a	DT
queer	JJ
thing	NN
.	.
"	``
"	``
what	WP
's	VBZ
that	DT
?	.
"	''
he	PRP
handed	VBD
me	PRP
the	DT
letter	NN
,	,
and	CC
directly	RB
i	PRP
started	VBD
in	RP
on	IN
it	PRP
i	PRP
saw	VBD
why	WRB
he	PRP
had	VBD
grunted	VBN
.	.
this	DT
is	VBZ
how	WRB
it	PRP
ran	VBD
"	``
augustus	NNP
arbutt	NNP
.	.
"	''
i	PRP
read	VBD
it	PRP
through	RP
twice	RB
,	,
and	CC
the	DT
second	JJ
time	NN
i	PRP
had	VBD
one	CD
of	IN
those	DT
ideas	NNS
i	PRP
do	VBP
sometimes	RB
get	VB
,	,
though	IN
admittedly	RB
a	DT
chump	NN
of	IN
the	DT
premier	JJ
class	NN
.	.
i	PRP
have	VBP
seldom	RB
had	VBN
such	PDT
a	DT
thoroughly	RB
corking	JJ
brain	NN
-	HYPH
wave	NN
.	.
"	``
why	WRB
,	,
old	NNP
top	NNP
,	,
"	''
i	PRP
said	VBD
,	,
"	``
this	DT
lets	VBZ
you	PRP
out	RP
.	.
"	''
