yes	UH
times	NNS
backward	RB
over	IN
his	PRP$
own	JJ
painted	VBN
tail	NN
without	IN
stopping	VBG
.	.
‘	``
good	JJ
morning	NN
!	.
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
.	.
‘	``
and	CC
how	WRB
is	VBZ
your	PRP$
dear	JJ
gracious	JJ
mummy	NN
this	DT
morning	NN
?	.
’	''
‘	``
she	PRP
is	VBZ
quite	RB
well	JJ
,	,
thank	VBP
you	PRP
,	,
’	''
said	VBD
painted	VBN
jaguar	NNP
;	:
‘	``
but	CC
you	PRP
must	MD
forgive	VB
me	PRP
if	IN
i	PRP
do	VBP
not	RB
at	IN
this	DT
precise	JJ
moment	NN
recall	VB
your	PRP$
name	NN
.	.
’	''
‘	``
that	DT
’s	VBZ
unkind	JJ
of	IN
you	PRP
,	,
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
,	,
‘	``
seeing	VBG
that	IN
this	DT
time	NN
yesterday	NN
you	PRP
tried	VBD
to	TO
scoop	VB
me	PRP
out	IN
of	IN
my	PRP$
shell	NN
with	IN
your	PRP$
paw	NN
.	.
’	''
‘	``
but	CC
you	PRP
had	VBD
n’t	RB
any	DT
shell	NN
.	.
it	PRP
was	VBD
all	DT
prickles	NN
,	,
’	''
said	VBD
painted	VBN
jaguar	NN
.	.
‘	``
i	PRP
know	VBP
it	PRP
was	VBD
.	.
just	RB
look	VB
at	IN
my	PRP$
paw	NN
!	.
’	''
‘	``
you	PRP
told	VBD
me	PRP
to	TO
drop	VB
into	IN
the	DT
turbid	JJ
amazon	NNP
and	CC
be	VB
drowned	VBN
,	,
’	''
said	VBD
slow	RB
-	HYPH
solid	NNP
.	.
‘	``
why	WRB
are	VBP
you	PRP
so	RB
rude	JJ
and	CC
forgetful	JJ
to	IN
-	HYPH
day	NN
?	.
’	''
‘	``
do	VBP
n’t	RB
you	PRP
remember	VB
what	WP
your	PRP$
mother	NN
told	VBD
you	PRP
?	.
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
,	,
‘	``
ca	MD
n’t	RB
curl	VB
,	,
but	CC
can	MD
swim	VB
stickly	RB
-	HYPH
prickly	RB
,	,
that	DT
is	VBZ
him	PRP
!	.
curls	VBZ
up	RP
,	,
but	CC
can	MD
not	RB
swim	VB
