how	WRB
alight	JJ
.	.
she	PRP
went	VBD
and	CC
stood	VBD
before	IN
his	PRP$
chair	NN
,	,
with	IN
her	PRP$
hands	NNS
clasped	VBN
together	RB
against	IN
her	PRP$
breast	NN
.	.
"	``
you	PRP
sent	VBD
the	DT
things	NNS
to	IN
me	PRP
,	,
"	''
she	PRP
said	VBD
,	,
in	IN
a	DT
joyful	JJ
emotional	JJ
little	JJ
voice	NN
,	,
"	``
the	DT
beautiful	JJ
,	,
beautiful	JJ
things	NNS
?	.
you	PRP
sent	VBD
them	PRP
!	.
"	''
